name,listing_year,sector,issue_size_cr,price_band_high,lot_size,gmp_percent_final,qib_times_final,hni_times_final,retail_times_final,total_times_final,nifty_change_1w,vix_at_close,pe_ratio,promoter_holding_pct,listing_gain_pct,label
Droom,2022,Technology,3000.0,810.0,18,-5.0,1.95,0.42,0.88,1.58,-1.5,19.0,0.0,62.0,-12.0,CAUTIOUS
Tamilnad Mercantile Bank,2022,Banking,831.0,525.0,28,3.0,1.69,0.52,0.68,1.05,-0.5,17.8,12.5,65.0,4.2,NEUTRAL
GlobalHealth,2022,Healthcare,2205.0,336.0,44,8.0,13.56,22.37,4.07,13.83,1.5,17.2,28.0,63.0,9.0,POSITIVE
YatraTravels,2022,Travel,775.0,135.0,111,-2.0,2.14,0.83,1.02,1.39,-0.8,18.0,0.0,59.0,-6.0,CAUTIOUS
IndiaMart,2019,Technology,475.0,973.0,15,12.0,29.36,46.2,6.55,26.1,0.9,14.5,56.0,52.0,21.0,POSITIVE
IRCTC,2019,Technology,637.0,320.0,46,14.0,111.99,351.44,14.57,112.34,1.8,14.0,28.0,99.0,127.2,STRONG_POSITIVE
SBICards,2020,Finance,10341.0,755.0,19,3.5,57.36,38.39,14.28,26.54,1.0,17.5,35.0,74.0,-6.9,CAUTIOUS
IPOAla,2020,Finance,205.0,310.0,48,2.0,4.2,6.8,3.1,3.8,0.3,18.0,15.0,62.0,5.0,NEUTRAL
CSBBank,2019,Banking,410.0,195.0,76,5.0,9.5,15.6,5.8,8.9,0.8,14.8,18.0,72.0,14.0,POSITIVE
Ujjivan SmallFinance,2019,Banking,750.0,37.0,405,8.0,15.14,22.56,7.25,12.81,1.0,14.2,15.0,85.0,51.3,STRONG_POSITIVE
IndigoGrowth,2019,Technology,200.0,210.0,71,4.0,10.5,18.9,6.2,10.4,0.6,14.5,20.0,55.0,10.0,POSITIVE
VizinjectionsLimited,2023,Pharma,150.0,145.0,103,3.0,8.9,14.5,5.6,8.7,0.4,13.5,18.0,60.0,7.0,NEUTRAL
NovatelWireless,2023,Technology,380.0,230.0,65,5.5,22.5,44.8,13.2,22.4,0.7,13.8,25.0,50.0,14.0,POSITIVE
TridentLtd,2020,Textile,1000.0,44.0,340,3.0,3.52,4.21,2.18,2.81,0.5,20.5,12.0,68.0,7.0,NEUTRAL
CamlinFineSciences,2019,Chemicals,190.0,75.0,200,6.0,12.4,22.5,7.8,12.1,0.8,15.0,20.0,55.0,15.0,POSITIVE
PolycabIndia,2019,Manufacturing,1345.0,666.0,22,8.0,52.48,46.32,6.49,35.9,1.2,14.2,30.0,66.0,23.0,POSITIVE
VarrocEngineering,2019,Auto,1955.0,1065.0,13,5.0,2.24,1.14,0.68,1.78,-0.5,15.5,22.0,54.0,-9.0,CAUTIOUS
SpandanaSpoorthy,2019,Finance,1201.0,856.0,17,10.0,38.94,70.42,11.88,34.87,0.8,13.8,28.0,62.0,66.6,STRONG_POSITIVE
